#ID_REF = 
#VALUE = RMA normalized (in  log2 scale)
ID_REF	VALUE
1007_s_at	5.625855
1053_at	6.344897
117_at	7.306185
121_at	7.196858
1255_g_at	3.514067
1294_at	8.58118
1316_at	5.563843
1320_at	4.341566
1405_i_at	11.642469
1431_at	3.736063
1438_at	4.850532
1487_at	6.460765
1494_f_at	4.978309
1598_g_at	7.330272
160020_at	5.987103
1729_at	8.913363
1773_at	5.092931
177_at	4.420731
179_at	7.905286
1861_at	5.560663
200000_s_at	9.638544
200001_at	10.722423
200002_at	12.685809
200003_s_at	13.574621
200004_at	11.559181
200005_at	10.741211
200006_at	11.05445
200007_at	11.337025
200008_s_at	9.205756
200009_at	11.55913
200010_at	13.095187
200011_s_at	9.312128
200012_x_at	13.680103
200013_at	12.673298
200014_s_at	10.182829
200015_s_at	10.516683
200016_x_at	12.923539
200017_at	13.058396
200018_at	13.406836
200019_s_at	12.498484
200020_at	8.933818
200021_at	13.32816
200022_at	13.127065
200023_s_at	11.520876
200024_at	12.73331
200025_s_at	13.244774
200026_at	13.483246
200027_at	10.148742
200028_s_at	9.846008
200029_at	13.269671
200030_s_at	11.655276
200031_s_at	13.460913
200032_s_at	13.445166
200033_at	12.237052
200034_s_at	12.687464
200035_at	9.170151
200036_s_at	12.677257
200037_s_at	9.962498
200038_s_at	13.348455
200039_s_at	9.225604
200040_at	10.456181
200041_s_at	10.563454
200042_at	9.020878
200043_at	9.798089
200044_at	9.1709
200045_at	8.29686
200046_at	8.825138
200047_s_at	10.160921
200048_s_at	10.979493
200049_at	7.78616
200050_at	8.634757
200051_at	7.866405
200052_s_at	8.147847
200053_at	9.245405
200054_at	7.008534
200055_at	10.018435
200056_s_at	8.133551
200057_s_at	10.828799
200058_s_at	9.813379
200059_s_at	12.35373
200060_s_at	9.725338
200061_s_at	13.477186
200062_s_at	13.569515
200063_s_at	12.292183
200064_at	10.66533
200065_s_at	10.737318
200066_at	9.792478
200067_x_at	10.103285
200068_s_at	10.319215
200069_at	7.684858
200070_at	8.494772
200071_at	8.796524
200072_s_at	9.450117
200073_s_at	10.42982
200074_s_at	12.251328
200075_s_at	9.209932
200076_s_at	8.34315
200077_s_at	12.838328
200078_s_at	9.48253
200079_s_at	10.084695
200080_s_at	12.379558
200081_s_at	12.958668
200082_s_at	12.537697
200083_at	8.594036
200084_at	9.571344
200085_s_at	10.658054
200086_s_at	11.328392
200087_s_at	9.894137
200088_x_at	13.41573
200089_s_at	12.303099
200090_at	10.583691
200091_s_at	12.497277
200092_s_at	13.393035
200093_s_at	10.264412
200094_s_at	11.912965
200095_x_at	13.539218
200096_s_at	11.203738
200097_s_at	10.753566
200098_s_at	10.082084
200099_s_at	13.6048
200593_s_at	8.644962
200594_x_at	10.487146
200595_s_at	9.933913
200596_s_at	9.632316
200597_at	7.999247
200598_s_at	8.656502
200599_s_at	10.922495
200600_at	11.432095
200601_at	8.854631
200602_at	6.995656
200603_at	10.727614
200604_s_at	6.596601
200605_s_at	10.358819
200606_at	4.014312
200607_s_at	8.041821
200608_s_at	9.754751
200609_s_at	10.879641
200610_s_at	10.298454
200611_s_at	10.315063
200612_s_at	8.675147
200613_at	9.964797
200614_at	10.815188
200615_s_at	7.066559
200616_s_at	7.458364
200617_at	7.780252
200618_at	10.106696
200619_at	9.354694
200620_at	10.305873
200621_at	8.685421
200622_x_at	8.933223
200623_s_at	8.468504
200624_s_at	9.717635
200625_s_at	12.08852
200626_s_at	9.932531
200627_at	11.12214
200628_s_at	9.202248
200629_at	10.504804
200630_x_at	10.363229
200631_s_at	10.748251
200632_s_at	8.930457
200633_at	12.83074
200634_at	11.760811
200635_s_at	5.291859
200636_s_at	4.094494
200637_s_at	4.134273
200638_s_at	9.681212
200639_s_at	10.987492
200640_at	10.866622
200641_s_at	8.862227
200642_at	10.452327
200643_at	8.131413
200644_at	7.629901
200645_at	11.5984
200646_s_at	7.772532
200647_x_at	10.471774
200648_s_at	7.677357
200649_at	8.721825
200650_s_at	11.122364
200651_at	12.600894
200652_at	10.663836
200653_s_at	11.654166
200654_at	10.244384
200655_s_at	10.684523
200656_s_at	8.948766
200657_at	10.833595
200658_s_at	8.143533
200659_s_at	7.277537
200660_at	10.741143
200661_at	9.986693
200662_s_at	9.966057
200663_at	10.390367
200664_s_at	8.277822
200665_s_at	9.942631
200666_s_at	9.149851
200667_at	9.797472
200668_s_at	11.084441
200669_s_at	9.902412
200670_at	8.503109
200671_s_at	3.985739
200672_x_at	5.646022
200673_at	10.595285
200674_s_at	13.806897
200675_at	9.364387
200676_s_at	6.82449
200677_at	10.023069
200678_x_at	11.284441
200679_x_at	9.722519
200680_x_at	12.130233
200681_at	9.614938
200682_s_at	9.822244
200683_s_at	8.964146
200684_s_at	7.548568
200685_at	7.826445
200686_s_at	10.737514
200687_s_at	8.353854
200688_at	5.489942
200689_x_at	12.935335
200690_at	6.450661
200691_s_at	7.824804
200692_s_at	7.661908
200693_at	10.80756
200694_s_at	9.443735
200695_at	8.163048
200696_s_at	7.579312
200697_at	9.752275
200698_at	6.972341
200699_at	7.183705
200700_s_at	8.582585
200701_at	10.139343
200702_s_at	7.759479
200703_at	9.989167
200704_at	10.611832
200705_s_at	12.464094
200706_s_at	9.527958
200707_at	8.539566
200708_at	8.448279
200709_at	10.412564
200710_at	9.406699
200711_s_at	8.269826
200712_s_at	8.046423
200713_s_at	10.058005
200714_x_at	9.679854
200715_x_at	12.308789
200716_x_at	13.741898
200717_x_at	13.681608
200718_s_at	11.330666
200719_at	7.19955
200720_s_at	7.944031
200721_s_at	7.53572
200722_s_at	8.164342
200723_s_at	9.87581
200724_at	5.120622
200725_x_at	13.544597
200726_at	10.79366
200727_s_at	7.747813
200728_at	11.435165
200729_s_at	10.170629
200730_s_at	4.707018
200731_s_at	6.427259
200732_s_at	8.681103
200733_s_at	7.364303
200734_s_at	8.728203
200735_x_at	12.924638
200736_s_at	11.355744
200737_at	8.735857
200738_s_at	11.432785
200739_s_at	8.415162
200740_s_at	9.582347
200741_s_at	13.938898
200742_s_at	9.804796
200743_s_at	10.940117
200744_s_at	8.949363
200745_s_at	10.10309
200746_s_at	10.904983
200747_s_at	8.790058
200748_s_at	13.116383
200749_at	8.027289
200750_s_at	10.388742
200751_s_at	9.252676
200752_s_at	7.665168
200753_x_at	8.585337
200754_x_at	10.971322
200755_s_at	7.386174
200756_x_at	6.264236
200757_s_at	6.667697
200758_s_at	7.756968
200759_x_at	7.793092
200760_s_at	10.492238
200761_s_at	11.251241
200762_at	10.56898
200763_s_at	13.654945
200764_s_at	7.82166
200765_x_at	8.93558
200766_at	7.96148
200767_s_at	6.436184
200768_s_at	9.39425
200769_s_at	4.842386
200770_s_at	5.475408
200771_at	5.074391
200772_x_at	11.163915
200773_x_at	11.727088
200774_at	10.866053
200775_s_at	11.415523
200776_s_at	8.682723
200777_s_at	9.471493
200778_s_at	8.381023
200779_at	10.495551
200780_x_at	12.567603
200781_s_at	13.85287
200782_at	9.704335
200783_s_at	6.344457
200784_s_at	7.673237
200785_s_at	6.936595
200786_at	9.535086
200787_s_at	7.768555
200788_s_at	9.264187
200789_at	9.14514
200790_at	9.897885
200791_s_at	11.418653
200792_at	10.709943
200793_s_at	8.809578
200794_x_at	11.752358
200795_at	3.484417
200796_s_at	6.579832
200797_s_at	12.026665
200798_x_at	10.315076
200799_at	9.875828
200800_s_at	8.327283
200801_x_at	14.048351
200802_at	9.236133
200803_s_at	9.899361
200804_at	10.329537
200805_at	7.943856
200806_s_at	8.974611
200807_s_at	10.466924
200808_s_at	9.853317
200809_x_at	13.553597
200810_s_at	10.476151
200811_at	8.672538
200812_at	9.479214
200813_s_at	7.66512
200814_at	10.977215
200815_s_at	8.005702
200816_s_at	9.043325
200817_x_at	13.504226
200818_at	10.994124
200819_s_at	13.577165
200820_at	9.397199
200821_at	8.208311
200822_x_at	10.12593
200823_x_at	12.648828
200824_at	9.515937
200825_s_at	8.531284
200826_at	11.311814
200827_at	7.220704
200828_s_at	9.791288
200829_x_at	9.568661
200830_at	9.018092
200831_s_at	6.376318
200832_s_at	5.339968
200833_s_at	11.775661
200834_s_at	13.293121
200835_s_at	4.715913
200836_s_at	7.271285
200837_at	9.287684
200838_at	9.600356
200839_s_at	10.964213
200840_at	11.132135
200841_s_at	5.537361
200842_s_at	8.249928
200843_s_at	8.649263
200844_s_at	9.887289
200845_s_at	8.975238
200846_s_at	9.914737
200847_s_at	11.632168
200848_at	6.932785
200849_s_at	7.663912
200850_s_at	10.067277
200851_s_at	9.870338
200852_x_at	9.018055
200853_at	9.622494
200854_at	7.517847
200855_at	6.531177
200856_x_at	5.945677
200857_s_at	7.652273
200858_s_at	12.214559
200859_x_at	11.180413
200860_s_at	9.452595
200861_at	7.807544
200862_at	5.015671
200863_s_at	10.176852
200864_s_at	7.314462
200865_at	3.235677
200866_s_at	11.634584
200867_at	8.509527
200868_s_at	7.849151
200869_at	12.929846
200870_at	9.561042
200871_s_at	12.606749
200872_at	12.226751
200873_s_at	10.246911
200874_s_at	7.322507
200875_s_at	9.418745
200876_s_at	10.64627
200877_at	10.427271
200878_at	4.280078
200879_s_at	4.488718
200880_at	8.315055
200881_s_at	9.806823
200882_s_at	9.68729
200883_at	9.079443
200884_at	4.755455
200885_at	8.299353
200886_s_at	11.060143
200887_s_at	10.478132
200888_s_at	12.185453
200889_s_at	7.800968
200890_s_at	6.720438
200891_s_at	11.121235
200892_s_at	8.984328
200893_at	10.627491
200894_s_at	5.258407
200895_s_at	7.183705
200896_x_at	8.910807
200897_s_at	6.009452
200898_s_at	8.391539
200899_s_at	9.134664
200900_s_at	7.741916
200901_s_at	9.249904
200902_at	10.101786
200903_s_at	6.752739
200904_at	11.949838
200905_x_at	12.451093
200906_s_at	4.775023
200907_s_at	5.535774
200908_s_at	4.90852
200909_s_at	13.227923
200910_at	9.501052
200911_s_at	10.258435
200912_s_at	11.774459
200913_at	7.67407
200914_x_at	8.629285
200915_x_at	9.229024
200916_at	11.198443
200917_s_at	7.096396
200918_s_at	10.250106
200919_at	8.98951
200920_s_at	12.359776
200921_s_at	11.841433
200922_at	6.963003
200923_at	6.786466
200924_s_at	7.494809
200925_at	10.617001
200926_at	13.833015
200927_s_at	8.329159
200928_s_at	3.629665
200929_at	8.7974
200930_s_at	3.828343
200931_s_at	10.040213
200932_s_at	8.852067
200933_x_at	13.400735
200934_at	10.110988
200935_at	4.901322
200936_at	12.389786
200937_s_at	12.385188
200938_s_at	4.143437
200939_s_at	3.911737
200940_s_at	7.993512
200941_at	8.787304
200942_s_at	9.27239
200943_at	10.78211
200944_s_at	10.247504
200945_s_at	9.55023
200946_x_at	7.248455
200947_s_at	7.218539
200948_at	7.791829
200949_x_at	13.364286
200950_at	7.710052
200951_s_at	4.87848
200952_s_at	4.531149
200953_s_at	9.462299
200954_at	9.139048
200955_at	9.007694
200956_s_at	7.860173
200957_s_at	8.012571
200958_s_at	10.991409
200959_at	9.530573
200960_x_at	10.391895
200961_at	8.669943
200962_at	8.418144
200963_x_at	13.669656
200964_at	9.646014
200965_s_at	9.553896
200966_x_at	11.151665
200967_at	10.502212
200968_s_at	9.459024
200969_at	9.199906
200970_s_at	8.901847
200971_s_at	10.974029
200972_at	8.187404
200973_s_at	7.336773
200974_at	6.185364
200975_at	10.908493
200976_s_at	9.505652
200977_s_at	9.90751
200978_at	9.981741
200979_at	5.744969
200980_s_at	8.172291
200981_x_at	12.397696
200982_s_at	9.612
200983_x_at	7.438221
200984_s_at	6.578381
200985_s_at	7.916785
200986_at	6.157799
200987_x_at	7.134418
200988_s_at	6.035484
200989_at	10.344882
200990_at	9.113702
200991_s_at	9.606982
200992_at	8.57512
200993_at	8.502028
200994_at	7.907188
200995_at	6.511816
200996_at	10.904129
200997_at	9.203623
200998_s_at	7.000723
200999_s_at	7.94572
201000_at	8.290555
201001_s_at	8.890812
201002_s_at	9.904306
201003_x_at	8.664125
201004_at	10.336675
201005_at	7.172223
201006_at	4.954294
201007_at	9.868484
201008_s_at	12.188367
201009_s_at	12.5705
201010_s_at	13.043449
201011_at	7.756715
201012_at	11.903569
201013_s_at	7.813066
201014_s_at	6.536899
201015_s_at	5.849148
201016_at	6.8485
201017_at	5.925412
