#ID_REF = 
#VALUE = RMA normalized (in  log2 scale)
ID_REF	VALUE
1007_s_at	5.765456
1053_at	6.342796
117_at	7.422566
121_at	7.158402
1255_g_at	3.467582
1294_at	8.418371
1316_at	5.319667
1320_at	4.298621
1405_i_at	12.04781
1431_at	3.745592
1438_at	4.543465
1487_at	6.980805
1494_f_at	4.775903
1598_g_at	7.122419
160020_at	6.100869
1729_at	8.481941
1773_at	5.268088
177_at	4.438754
179_at	7.657088
1861_at	5.473524
200000_s_at	9.420805
200001_at	10.263525
200002_at	12.567143
200003_s_at	13.657032
200004_at	11.748012
200005_at	10.550707
200006_at	11.277781
200007_at	11.45993
200008_s_at	9.341647
200009_at	11.493331
200010_at	13.039202
200011_s_at	9.659886
200012_x_at	13.717472
200013_at	12.651454
200014_s_at	10.139578
200015_s_at	10.557362
200016_x_at	12.815164
200017_at	13.466018
200018_at	13.54147
200019_s_at	12.524238
200020_at	8.819404
200021_at	13.475083
200022_at	13.053715
200023_s_at	11.456018
200024_at	12.861846
200025_s_at	13.563727
200026_at	13.580249
200027_at	10.196059
200028_s_at	9.724411
200029_at	13.248322
200030_s_at	11.47208
200031_s_at	13.592103
200032_s_at	13.501502
200033_at	12.603689
200034_s_at	13.057264
200035_at	9.30238
200036_s_at	12.621216
200037_s_at	10.297815
200038_s_at	13.342433
200039_s_at	9.189573
200040_at	10.247302
200041_s_at	10.909006
200042_at	8.631061
200043_at	10.175593
200044_at	9.575021
200045_at	8.372119
200046_at	9.413477
200047_s_at	10.54516
200048_s_at	10.795776
200049_at	7.84635
200050_at	8.908127
200051_at	7.745816
200052_s_at	8.495689
200053_at	9.043833
200054_at	7.026513
200055_at	10.242451
200056_s_at	8.807324
200057_s_at	11.168791
200058_s_at	10.044375
200059_s_at	12.500055
200060_s_at	9.902704
200061_s_at	13.667472
200062_s_at	13.721857
200063_s_at	12.410928
200064_at	10.519723
200065_s_at	10.878075
200066_at	9.472987
200067_x_at	10.289675
200068_s_at	10.60461
200069_at	8.280629
200070_at	8.583363
200071_at	9.214945
200072_s_at	9.513749
200073_s_at	10.616542
200074_s_at	12.260432
200075_s_at	8.891228
200076_s_at	8.004675
200077_s_at	12.92274
200078_s_at	9.268963
200079_s_at	9.773998
200080_s_at	12.959998
200081_s_at	12.771981
200082_s_at	12.682393
200083_at	8.897564
200084_at	9.988152
200085_s_at	10.409153
200086_s_at	11.321314
200087_s_at	10.306717
200088_x_at	13.207645
200089_s_at	12.246004
200090_at	10.489304
200091_s_at	13.109176
200092_s_at	13.570696
200093_s_at	10.519865
200094_s_at	12.097046
200095_x_at	13.531706
200096_s_at	11.210864
200097_s_at	10.793224
200098_s_at	10.100576
200099_s_at	13.80029
