#ID_REF = 
#VALUE = RMA normalized (in  log2 scale)
ID_REF	VALUE
1007_s_at	5.889317
1053_at	6.095207
117_at	6.691517
121_at	7.229947
1255_g_at	3.518966
1294_at	8.421703
1316_at	5.449915
1320_at	4.328875
1405_i_at	11.978945
1431_at	3.595059
1438_at	4.750293
1487_at	6.557138
1494_f_at	4.786603
1598_g_at	6.949226
160020_at	5.821708
1729_at	8.690488
1773_at	5.132108
177_at	4.424884
179_at	7.916807
1861_at	5.926748
200000_s_at	9.244303
200001_at	10.448298
200002_at	12.548444
200003_s_at	13.600424
200004_at	11.603684
200005_at	10.721342
200006_at	11.613034
200007_at	11.448278
200008_s_at	9.895281
200009_at	11.426044
200010_at	13.092357
200011_s_at	9.542822
200012_x_at	13.733609
200013_at	12.755624
200014_s_at	10.287602
200015_s_at	10.431148
200016_x_at	12.786655
200017_at	13.343363
200018_at	13.543722
200019_s_at	12.61726
200020_at	8.745627
200021_at	13.171261
200022_at	13.26298
200023_s_at	11.541698
200024_at	13.038246
200025_s_at	13.441336
200026_at	13.174681
200027_at	10.323655
200028_s_at	9.618935
200029_at	13.138434
200030_s_at	11.398948
200031_s_at	13.614362
200032_s_at	13.472195
200033_at	12.293254
200034_s_at	12.920369
200035_at	8.802323
200036_s_at	12.680408
200037_s_at	10.106566
200038_s_at	13.312012
200039_s_at	9.404239
200040_at	10.253833
200041_s_at	10.643918
200042_at	8.573551
200043_at	10.160584
200044_at	9.151052
200045_at	8.32935
200046_at	9.68715
200047_s_at	10.333682
200048_s_at	10.952054
200049_at	7.739678
200050_at	9.021452
200051_at	7.660616
200052_s_at	8.578752
200053_at	9.149359
200054_at	6.989825
200055_at	10.091052
200056_s_at	8.815545
200057_s_at	11.095914
200058_s_at	9.635456
200059_s_at	12.519492
200060_s_at	9.608199
200061_s_at	13.592903
200062_s_at	13.586107
200063_s_at	12.106158
200064_at	10.581469
200065_s_at	11.258554
200066_at	9.487653
200067_x_at	10.694696
200068_s_at	10.329813
200069_at	8.118143
200070_at	8.523828
200071_at	9.136456
200072_s_at	9.560345
200073_s_at	10.293325
200074_s_at	12.463029
200075_s_at	9.311477
200076_s_at	8.054825
200077_s_at	13.044993
200078_s_at	9.514486
200079_s_at	9.665771
200080_s_at	12.787121
200081_s_at	12.947159
200082_s_at	12.606477
200083_at	8.885226
200084_at	9.893911
200085_s_at	10.441626
200086_s_at	11.398229
200087_s_at	10.036719
200088_x_at	13.228153
200089_s_at	12.364224
200090_at	10.445369
200091_s_at	12.91576
200092_s_at	13.498979
200093_s_at	10.411583
200094_s_at	12.372257
200095_x_at	13.504934
200096_s_at	11.708025
200097_s_at	10.416579
200098_s_at	10.022479
200099_s_at	13.796559
200593_s_at	9.055751
200594_x_at	10.338712
200595_s_at	10.054316
200596_s_at	9.329618
200597_at	8.025787
200598_s_at	9.024479
200599_s_at	11.221456
200600_at	11.67706
200601_at	8.228855
200602_at	8.29604
200603_at	11.100225
200604_s_at	7.834652
200605_s_at	10.588597
200606_at	3.619892
200607_s_at	8.527273
200608_s_at	10.131165
200609_s_at	11.159902
200610_s_at	10.417254
200611_s_at	10.257586
200612_s_at	9.119749
200613_at	9.974745
200614_at	10.872898
200615_s_at	7.784207
200616_s_at	7.072218
200617_at	7.641866
200618_at	10.443415
200619_at	9.099572
200620_at	10.240885
200621_at	8.547691
200622_x_at	10.173304
200623_s_at	8.420723
200624_s_at	10.060495
200625_s_at	11.925086
200626_s_at	10.626352
200627_at	11.326543
200628_s_at	9.253523
200629_at	10.171054
200630_x_at	10.278579
200631_s_at	10.397348
200632_s_at	8.882868
200633_at	13.422335
200634_at	11.893449
200635_s_at	5.235194
200636_s_at	4.385356
200637_s_at	3.897728
200638_s_at	11.032403
200639_s_at	11.441211
200640_at	11.235401
200641_s_at	10.343579
200642_at	10.404041
200643_at	8.036436
200644_at	8.429504
200645_at	11.529896
200646_s_at	7.310494
200647_x_at	10.4131
200648_s_at	8.756327
200649_at	8.249732
200650_s_at	11.060729
200651_at	12.962354
200652_at	10.643238
200653_s_at	11.404918
200654_at	9.811303
200655_s_at	11.458537
200656_s_at	8.824512
200657_at	10.69665
200658_s_at	7.822992
200659_s_at	7.285699
200660_at	10.594197
200661_at	10.5392
200662_s_at	9.714798
200663_at	10.485112
200664_s_at	8.437315
200665_s_at	11.027043
200666_s_at	9.079249
200667_at	10.062515
200668_s_at	11.236309
200669_s_at	10.140647
200670_at	8.701434
200671_s_at	4.602389
200672_x_at	6.904048
200673_at	10.550057
200674_s_at	13.823144
200675_at	9.245787
200676_s_at	6.727344
200677_at	10.176386
200678_x_at	10.716217
200679_x_at	10.471839
200680_x_at	12.061149
200681_at	9.291623
200682_s_at	10.069947
200683_s_at	8.857795
200684_s_at	7.58887
200685_at	8.437525
200686_s_at	10.840062
200687_s_at	8.169213
200688_at	5.852925
200689_x_at	12.975824
200690_at	6.125249
200691_s_at	9.049136
200692_s_at	8.293169
200693_at	10.951641
200694_s_at	9.308642
200695_at	8.082874
200696_s_at	8.289875
200697_at	9.660552
200698_at	6.931116
200699_at	7.228784
200700_s_at	8.449898
200701_at	10.231322
200702_s_at	7.69729
200703_at	10.84598
200704_at	10.104776
200705_s_at	12.626918
200706_s_at	9.749419
200707_at	8.078885
200708_at	8.229783
200709_at	10.678767
200710_at	8.957431
200711_s_at	8.731556
200712_s_at	8.409211
200713_s_at	10.103587
200714_x_at	9.182153
200715_x_at	12.098759
200716_x_at	13.592833
200717_x_at	13.738037
200718_s_at	11.926515
200719_at	7.047652
200720_s_at	7.406637
200721_s_at	7.545582
200722_s_at	8.313524
200723_s_at	10.00391
200724_at	4.977281
200725_x_at	13.542257
200726_at	10.990423
200727_s_at	8.387564
200728_at	11.465638
200729_s_at	10.734488
200730_s_at	6.742805
200731_s_at	6.72684
200732_s_at	8.932407
200733_s_at	7.514951
200734_s_at	8.92459
200735_x_at	12.917873
200736_s_at	12.253131
200737_at	8.801769
200738_s_at	11.499236
200739_s_at	8.434021
200740_s_at	9.646141
200741_s_at	14.018633
200742_s_at	9.875901
200743_s_at	10.954929
200744_s_at	8.882696
200745_s_at	9.971024
200746_s_at	10.543624
200747_s_at	8.355682
200748_s_at	13.538399
200749_at	8.298964
200750_s_at	10.269797
200751_s_at	9.903104
200752_s_at	7.697174
200753_x_at	8.838174
200754_x_at	10.522276
200755_s_at	6.948273
200756_x_at	6.503283
200757_s_at	7.003519
200758_s_at	7.819596
200759_x_at	7.749018
200760_s_at	10.865018
200761_s_at	11.786389
200762_at	10.295928
200763_s_at	13.720106
200764_s_at	7.606851
200765_x_at	8.442366
200766_at	7.718561
200767_s_at	6.707776
200768_s_at	8.964974
200769_s_at	6.176786
200770_s_at	5.671355
200771_at	5.314454
200772_x_at	11.336435
200773_x_at	11.969155
200774_at	10.737133
200775_s_at	11.674528
200776_s_at	9.191911
200777_s_at	9.697759
200778_s_at	8.994227
200779_at	10.51038
200780_x_at	12.622394
200781_s_at	13.837517
200782_at	10.354373
200783_s_at	6.614448
200784_s_at	7.475252
200785_s_at	6.90393
200786_at	9.429344
200787_s_at	7.724519
200788_s_at	9.222732
200789_at	8.611286
200790_at	10.597788
200791_s_at	11.096527
200792_at	10.559327
200793_s_at	8.51147
200794_x_at	11.869671
200795_at	3.341291
200796_s_at	6.83743
200797_s_at	11.80117
200798_x_at	10.51286
200799_at	10.618206
200800_s_at	8.807522
200801_x_at	13.955331
200802_at	8.886067
200803_s_at	10.176134
200804_at	10.460875
200805_at	8.0107
200806_s_at	9.346572
200807_s_at	10.613452
200808_s_at	9.043478
200809_x_at	13.354747
200810_s_at	9.756698
200811_at	8.489154
200812_at	9.270537
200813_s_at	7.987707
200814_at	10.993114
200815_s_at	7.370158
200816_s_at	9.25203
200817_x_at	13.544925
200818_at	10.589194
200819_s_at	13.598886
200820_at	8.951342
200821_at	8.295647
200822_x_at	9.712378
200823_x_at	12.725271
200824_at	9.331167
200825_s_at	8.745744
200826_at	11.218714
200827_at	6.895071
200828_s_at	9.762561
200829_x_at	9.490274
200830_at	8.761917
200831_s_at	6.716377
200832_s_at	5.302429
200833_s_at	12.155442
200834_s_at	13.341304
200835_s_at	4.938583
200836_s_at	6.989439
200837_at	9.205774
200838_at	9.361789
200839_s_at	10.634227
200840_at	11.251341
200841_s_at	5.949177
200842_s_at	8.216887
200843_s_at	8.804723
200844_s_at	10.649979
200845_s_at	9.456595
200846_s_at	9.857383
200847_s_at	11.895508
200848_at	7.002415
200849_s_at	7.54917
