#ID_REF = 
#VALUE = RMA normalized (in  log2 scale)
ID_REF	VALUE
1007_s_at	5.716977
1053_at	6.231627
117_at	8.094537
121_at	7.349457
1255_g_at	3.556188
1294_at	8.538266
1316_at	5.553701
1320_at	4.485883
1405_i_at	11.626883
1431_at	3.828954
1438_at	4.411933
1487_at	6.774718
1494_f_at	4.400986
1598_g_at	7.008808
160020_at	5.918806
1729_at	8.568905
1773_at	4.953169
177_at	4.512889
179_at	7.50445
1861_at	5.300202
200000_s_at	9.522831
200001_at	10.76165
200002_at	12.55104
200003_s_at	13.704403
200004_at	11.534056
200005_at	10.762503
200006_at	11.041944
200007_at	11.443376
200008_s_at	9.51107
200009_at	11.7412
200010_at	13.175917
200011_s_at	9.7907
200012_x_at	13.634234
200013_at	12.804098
200014_s_at	10.131372
200015_s_at	10.705105
200016_x_at	12.881556
200017_at	13.317799
200018_at	13.60314
200019_s_at	12.542986
200020_at	8.902682
200021_at	13.401313
200022_at	13.176137
200023_s_at	11.53129
200024_at	12.593183
200025_s_at	13.355072
200026_at	13.642861
200027_at	10.202916
200028_s_at	9.860814
200029_at	13.278965
200030_s_at	11.413412
200031_s_at	13.502454
200032_s_at	13.566908
200033_at	12.172879
200034_s_at	12.864837
200035_at	9.401433
200036_s_at	12.658324
200037_s_at	10.280739
200038_s_at	13.449713
200039_s_at	9.497787
200040_at	10.177534
200041_s_at	10.711296
200042_at	8.871096
200043_at	10.394042
200044_at	9.22902
200045_at	8.393188
200046_at	8.942837
200047_s_at	10.154973
200048_s_at	10.761283
200049_at	7.781716
200050_at	8.860894
200051_at	8.006535
200052_s_at	8.319625
200053_at	9.126868
200054_at	7.204493
200055_at	9.928269
200056_s_at	8.475331
200057_s_at	11.124654
200058_s_at	9.749572
200059_s_at	12.279773
200060_s_at	9.790262
200061_s_at	13.867529
200062_s_at	13.733797
200063_s_at	12.282521
200064_at	10.829848
200065_s_at	10.869734
200066_at	9.737834
200067_x_at	10.154989
200068_s_at	10.562006
200069_at	7.632767
200070_at	8.383336
200071_at	8.938179
200072_s_at	9.589079
200073_s_at	10.432925
200074_s_at	12.157818
200075_s_at	8.855299
200076_s_at	8.369606
200077_s_at	12.941075
200078_s_at	9.493604
200079_s_at	10.038017
200080_s_at	12.570357
200081_s_at	13.20341
200082_s_at	12.78144
200083_at	8.485019
200084_at	9.932913
200085_s_at	10.636938
200086_s_at	11.235793
200087_s_at	10.206992
200088_x_at	13.363484
200089_s_at	12.294344
200090_at	10.463467
200091_s_at	12.951712
200092_s_at	13.592912
200093_s_at	10.101896
200094_s_at	12.057352
200095_x_at	13.662966
200096_s_at	11.419094
200097_s_at	10.578628
200098_s_at	10.027135
200099_s_at	13.665167
200593_s_at	9.174756
200594_x_at	10.49895
200595_s_at	9.826338
200596_s_at	9.499064
200597_at	7.850205
200598_s_at	7.975035
200599_s_at	10.958697
200600_at	11.536881
200601_at	9.013361
200602_at	8.054037
200603_at	10.98546
200604_s_at	7.280903
200605_s_at	10.499269
200606_at	3.347185
200607_s_at	7.64668
200608_s_at	9.800983
200609_s_at	11.003281
200610_s_at	10.38114
200611_s_at	10.293209
200612_s_at	8.71962
200613_at	9.616915
200614_at	10.837979
200615_s_at	6.719225
200616_s_at	6.981446
200617_at	7.431433
200618_at	10.26987
200619_at	9.34573
200620_at	10.368104
200621_at	8.19887
200622_x_at	8.992738
200623_s_at	9.069612
200624_s_at	9.746476
200625_s_at	12.241686
