#ID_REF = 
#VALUE = RMA normalized (in  log2 scale)
ID_REF	VALUE
1007_s_at	5.932552
1053_at	6.207543
117_at	8.833563
121_at	7.613665
1255_g_at	3.574037
1294_at	8.69517
1316_at	5.515803
1320_at	4.483331
1405_i_at	11.619199
1431_at	3.722286
1438_at	4.805212
1487_at	7.01076
1494_f_at	4.565706
1598_g_at	7.738242
160020_at	6.085253
1729_at	8.536053
1773_at	5.136856
177_at	4.453526
179_at	7.937985
1861_at	5.018027
200000_s_at	9.037914
200001_at	10.369802
200002_at	12.350125
200003_s_at	13.505708
200004_at	11.550484
200005_at	10.325094
200006_at	11.289012
200007_at	11.351792
200008_s_at	9.544459
200009_at	11.658716
200010_at	12.974709
200011_s_at	9.721699
200012_x_at	13.572323
200013_at	12.590357
200014_s_at	10.062204
200015_s_at	10.808986
200016_x_at	12.655459
200017_at	13.244068
200018_at	13.392363
200019_s_at	12.236632
200020_at	8.413165
200021_at	13.458574
200022_at	12.785036
200023_s_at	11.121149
200024_at	12.477158
200025_s_at	13.260545
200026_at	13.541636
200027_at	10.106209
200028_s_at	9.347693
200029_at	12.982771
200030_s_at	11.250819
200031_s_at	13.461666
200032_s_at	13.383768
200033_at	12.29268
200034_s_at	12.720746
200035_at	9.136845
200036_s_at	12.453931
200037_s_at	9.920111
200038_s_at	13.217825
200039_s_at	9.405672
200040_at	9.935791
200041_s_at	10.566579
200042_at	8.901505
200043_at	9.815362
200044_at	9.142158
200045_at	8.006986
200046_at	9.361328
200047_s_at	10.155863
200048_s_at	10.749235
200049_at	7.732103
200050_at	8.624768
200051_at	7.781013
200052_s_at	8.217581
200053_at	8.885027
200054_at	7.111517
200055_at	10.264815
200056_s_at	8.284069
200057_s_at	10.821624
200058_s_at	9.344269
200059_s_at	12.528059
200060_s_at	9.448481
200061_s_at	13.716365
200062_s_at	13.582754
200063_s_at	11.877082
200064_at	10.675157
200065_s_at	10.894838
200066_at	9.592403
200067_x_at	10.543282
200068_s_at	10.203331
200069_at	7.62417
200070_at	8.39827
200071_at	8.851073
200072_s_at	9.238707
200073_s_at	10.368276
200074_s_at	12.025742
200075_s_at	8.98681
200076_s_at	7.945965
200077_s_at	12.967892
200078_s_at	9.33759
200079_s_at	10.163635
200080_s_at	12.997549
200081_s_at	12.778038
200082_s_at	12.434306
200083_at	8.570704
200084_at	10.047379
200085_s_at	10.352171
200086_s_at	11.099571
200087_s_at	9.837841
200088_x_at	13.0204
200089_s_at	12.118758
200090_at	10.283038
200091_s_at	12.890918
200092_s_at	13.399512
200093_s_at	9.983627
200094_s_at	11.499647
200095_x_at	13.463621
200096_s_at	11.566517
200097_s_at	10.358127
200098_s_at	10.150344
200099_s_at	13.604768
200593_s_at	8.841772
200594_x_at	10.170329
200595_s_at	9.58982
200596_s_at	8.560233
200597_at	7.379109
200598_s_at	8.108791
200599_s_at	11.078115
200600_at	11.565276
200601_at	8.594088
200602_at	7.956137
200603_at	11.54678
200604_s_at	8.326633
200605_s_at	11.066715
200606_at	3.417486
200607_s_at	7.622933
200608_s_at	9.717983
200609_s_at	10.978084
200610_s_at	10.062461
200611_s_at	10.065051
200612_s_at	8.4247
200613_at	9.398261
200614_at	10.87744
200615_s_at	7.485677
200616_s_at	6.409749
200617_at	7.508328
200618_at	10.217091
200619_at	9.090432
200620_at	10.316268
200621_at	8.357851
200622_x_at	9.919787
200623_s_at	8.948138
200624_s_at	9.710211
200625_s_at	12.276546
200626_s_at	10.060819
200627_at	11.19397
200628_s_at	11.371341
200629_at	12.805426
200630_x_at	9.899926
200631_s_at	10.465604
200632_s_at	8.77585
200633_at	12.973913
200634_at	12.029878
200635_s_at	5.30881
200636_s_at	4.486637
200637_s_at	4.053002
200638_s_at	10.506145
200639_s_at	11.719413
200640_at	11.237867
200641_s_at	9.678074
200642_at	10.242746
200643_at	7.864019
200644_at	7.704295
200645_at	11.842981
200646_s_at	7.147768
200647_x_at	10.390487
200648_s_at	8.498445
200649_at	8.929218
200650_s_at	10.965042
200651_at	12.682802
200652_at	10.084525
200653_s_at	10.862063
200654_at	9.653334
200655_s_at	10.875921
200656_s_at	8.292155
200657_at	10.695023
200658_s_at	7.4376
200659_s_at	6.997874
200660_at	11.381533
200661_at	10.826369
200662_s_at	9.318774
200663_at	10.904789
200664_s_at	7.570623
200665_s_at	11.208382
200666_s_at	8.766069
200667_at	10.0095
200668_s_at	11.349723
200669_s_at	9.975258
200670_at	7.933231
200671_s_at	4.408859
200672_x_at	5.796692
200673_at	10.428326
200674_s_at	13.668538
200675_at	8.404561
200676_s_at	6.141991
200677_at	10.239646
200678_x_at	10.91003
200679_x_at	9.569206
200680_x_at	11.768627
200681_at	9.132725
200682_s_at	9.916711
200683_s_at	8.767052
200684_s_at	7.222638
200685_at	7.8283
200686_s_at	10.542603
200687_s_at	8.060091
200688_at	5.575562
200689_x_at	12.612139
200690_at	5.913556
200691_s_at	8.362697
200692_s_at	7.940474
200693_at	10.382127
200694_s_at	9.081154
200695_at	7.624014
200696_s_at	8.625101
200697_at	9.615098
200698_at	6.968662
200699_at	7.49227
200700_s_at	8.145411
200701_at	11.059249
200702_s_at	6.617006
200703_at	11.141882
200704_at	10.069312
200705_s_at	12.149055
200706_s_at	8.844798
200707_at	7.712156
200708_at	8.04798
200709_at	11.011811
200710_at	9.273883
200711_s_at	8.224306
200712_s_at	7.923366
200713_s_at	10.123246
200714_x_at	9.800349
200715_x_at	11.878645
200716_x_at	13.557131
200717_x_at	13.555741
200718_s_at	11.447387
200719_at	7.192378
200720_s_at	7.466808
200721_s_at	7.602141
200722_s_at	7.994318
200723_s_at	9.902078
200724_at	5.090269
200725_x_at	13.303413
200726_at	10.555805
200727_s_at	7.375976
200728_at	11.279631
200729_s_at	10.469696
200730_s_at	6.185327
200731_s_at	6.9264
200732_s_at	8.924234
200733_s_at	7.515053
200734_s_at	9.52458
200735_x_at	12.902379
200736_s_at	11.840239
200737_at	8.747096
200738_s_at	11.701012
200739_s_at	8.022392
200740_s_at	9.3482
200741_s_at	13.99683
200742_s_at	10.355628
200743_s_at	11.02839
200744_s_at	9.036399
200745_s_at	9.293141
200746_s_at	10.437574
200747_s_at	7.998055
200748_s_at	13.523551
200749_at	7.499154
200750_s_at	10.025805
200751_s_at	9.127912
200752_s_at	7.653734
200753_x_at	8.448751
200754_x_at	10.613111
200755_s_at	6.831556
200756_x_at	5.94533
200757_s_at	7.116123
200758_s_at	7.719546
200759_x_at	8.181525
200760_s_at	10.2435
200761_s_at	11.505228
200762_at	10.383843
200763_s_at	13.580847
200764_s_at	8.097955
200765_x_at	8.969706
200766_at	7.213447
200767_s_at	6.571316
200768_s_at	9.261301
200769_s_at	5.916605
200770_s_at	5.790558
200771_at	4.317389
200772_x_at	10.893771
200773_x_at	12.1226
200774_at	11.097507
200775_s_at	11.204623
200776_s_at	8.62145
200777_s_at	9.502628
200778_s_at	8.881804
200779_at	10.333092
200780_x_at	12.825258
200781_s_at	13.751573
200782_at	10.533802
200783_s_at	5.942391
200784_s_at	7.46547
200785_s_at	7.312399
200786_at	9.456125
200787_s_at	7.230141
200788_s_at	9.41732
200789_at	8.41351
200790_at	10.764714
200791_s_at	11.089914
200792_at	10.362628
200793_s_at	8.181232
200794_x_at	11.796907
200795_at	3.80213
200796_s_at	6.376984
200797_s_at	12.071407
200798_x_at	10.73277
200799_at	11.222403
200800_s_at	9.53067
200801_x_at	14.121245
200802_at	8.532535
200803_s_at	10.18997
200804_at	9.983997
200805_at	7.951859
200806_s_at	8.60749
200807_s_at	10.428602
200808_s_at	9.311057
200809_x_at	13.171485
200810_s_at	9.220621
200811_at	7.650656
200812_at	8.890912
200813_s_at	7.454225
200814_at	11.605617
200815_s_at	7.928747
200816_s_at	8.93202
200817_x_at	13.3913
200818_at	10.599454
200819_s_at	13.452221
200820_at	9.033954
200821_at	8.129332
200822_x_at	10.078105
200823_x_at	12.184913
200824_at	8.920323
200825_s_at	8.74495
200826_at	10.90152
200827_at	6.849016
200828_s_at	9.51333
200829_x_at	9.45647
200830_at	8.871053
200831_s_at	6.272849
200832_s_at	4.869276
200833_s_at	12.178527
200834_s_at	13.156232
200835_s_at	4.39572
200836_s_at	7.086816
200837_at	8.904581
200838_at	9.951882
200839_s_at	11.229284
200840_at	11.296344
200841_s_at	4.720023
200842_s_at	6.702117
200843_s_at	8.504025
200844_s_at	10.3745
200845_s_at	10.236806
200846_s_at	9.251995
200847_s_at	11.715022
200848_at	6.52248
200849_s_at	7.685578
200850_s_at	9.867485
200851_s_at	9.512277
200852_x_at	8.808807
200853_at	9.354209
200854_at	7.600321
200855_at	6.467561
200856_x_at	6.416372
200857_s_at	7.648904
200858_s_at	12.317891
200859_x_at	10.575676
200860_s_at	9.282309
200861_at	7.587196
200862_at	5.009091
200863_s_at	11.1665
200864_s_at	8.741548
200865_at	3.348566
200866_s_at	11.440944
200867_at	8.460209
200868_s_at	8.130769
200869_at	12.761058
200870_at	9.348969
200871_s_at	12.822127
200872_at	11.952838
200873_s_at	10.207398
200874_s_at	7.425862
200875_s_at	8.896191
200876_s_at	10.367155
200877_at	10.104645
200878_at	4.819439
200879_s_at	4.025078
200880_at	9.093903
200881_s_at	10.888765
200882_s_at	9.394386
200883_at	8.901507
200884_at	4.191112
200885_at	7.439264
200886_s_at	10.76155
200887_s_at	12.35045
200888_s_at	12.528013
200889_s_at	7.820946
200890_s_at	7.101564
200891_s_at	10.923305
200892_s_at	8.736798
200893_at	10.587864
200894_s_at	5.565738
200895_s_at	7.527595
200896_x_at	9.03107
200897_s_at	5.041016
200898_s_at	8.536203
200899_s_at	9.08946
200900_s_at	7.860439
200901_s_at	9.332209
200902_at	10.058124
200903_s_at	6.491107
200904_at	11.607376
200905_x_at	12.161465
200906_s_at	4.571193
200907_s_at	5.209704
200908_s_at	4.965148
200909_s_at	13.255466
200910_at	9.132072
200911_s_at	10.194961
200912_s_at	11.499076
200913_at	7.366898
200914_x_at	7.681555
200915_x_at	9.497941
200916_at	11.596161
200917_s_at	6.744335
200918_s_at	9.707156
200919_at	8.654333
200920_s_at	11.031504
200921_s_at	11.450784
200922_at	6.476765
200923_at	7.609999
200924_s_at	7.235746
200925_at	11.024839
200926_at	13.794722
200927_s_at	8.27613
200928_s_at	3.690491
200929_at	8.53021
200930_s_at	3.960982
200931_s_at	11.203552
200932_s_at	9.008997
200933_x_at	13.585105
200934_at	10.62689
200935_at	6.135908
200936_at	11.848049
200937_s_at	11.883635
200938_s_at	4.389334
200939_s_at	4.054355
200940_s_at	8.895321
200941_at	8.982042
200942_s_at	9.846479
200943_at	10.225682
200944_s_at	9.901839
200945_s_at	9.606078
200946_x_at	7.251267
200947_s_at	7.959575
200948_at	7.752979
200949_x_at	13.366276
200950_at	7.764749
200951_s_at	5.050458
200952_s_at	4.697938
200953_s_at	9.060513
200954_at	9.106695
200955_at	8.773432
200956_s_at	7.112303
200957_s_at	7.563189
200958_s_at	11.576497
200959_at	8.961515
200960_x_at	10.506944
200961_at	8.524849
200962_at	7.982116
200963_x_at	13.670229
200964_at	9.908
200965_s_at	9.283612
200966_x_at	11.216878
200967_at	10.032738
200968_s_at	9.001987
200969_at	9.393616
200970_s_at	8.802083
200971_s_at	10.79873
200972_at	7.688493
200973_s_at	6.704858
200974_at	7.115167
200975_at	10.773874
200976_s_at	9.698133
200977_s_at	10.078136
200978_at	9.468836
200979_at	5.964115
200980_s_at	8.037888
200981_x_at	12.710169
200982_s_at	9.177172
200983_x_at	6.639479
200984_s_at	5.382162
200985_s_at	6.392658
200986_at	10.089372
200987_x_at	6.735878
200988_s_at	5.661815
200989_at	10.715862
200990_at	8.60759
200991_s_at	9.288112
200992_at	8.006706
200993_at	7.910676
200994_at	7.823275
200995_at	6.390922
200996_at	11.236826
200997_at	9.134364
200998_s_at	6.784388
200999_s_at	7.845509
201000_at	8.039874
