#ID_REF = 
#VALUE = RMA normalized (in  log2 scale)
ID_REF	VALUE
1007_s_at	5.899156
1053_at	6.458714
117_at	8.172998
121_at	7.217889
1255_g_at	3.49334
1294_at	8.766952
1316_at	5.404219
1320_at	4.343738
1405_i_at	11.687628
1431_at	3.744106
1438_at	4.559462
1487_at	7.174049
1494_f_at	4.523226
1598_g_at	7.870272
160020_at	5.832199
1729_at	8.764796
1773_at	5.39957
177_at	4.433702
179_at	7.584652
1861_at	5.80467
200000_s_at	9.260017
200001_at	10.892317
200002_at	12.200007
200003_s_at	13.433498
200004_at	11.610602
200005_at	10.461183
200006_at	11.331646
200007_at	11.414686
200008_s_at	9.811282
200009_at	11.517365
200010_at	12.944075
200011_s_at	9.77834
200012_x_at	13.566811
200013_at	12.374168
200014_s_at	10.202363
200015_s_at	10.349818
200016_x_at	12.728935
200017_at	13.212703
200018_at	13.452852
200019_s_at	12.267293
200020_at	8.580438
200021_at	13.465268
200022_at	12.929268
200023_s_at	11.292544
200024_at	12.478368
200025_s_at	13.230466
200026_at	13.38026
200027_at	10.226224
200028_s_at	9.724806
200029_at	13.058809
200030_s_at	11.409681
200031_s_at	13.53644
200032_s_at	13.41769
200033_at	12.281861
200034_s_at	12.702807
200035_at	9.26691
200036_s_at	12.385103
200037_s_at	10.196745
200038_s_at	13.107251
200039_s_at	9.680375
200040_at	10.140498
200041_s_at	10.854255
200042_at	8.899822
200043_at	10.118807
200044_at	9.497008
200045_at	8.341451
200046_at	9.310361
200047_s_at	10.220333
200048_s_at	10.844225
200049_at	7.47909
200050_at	8.578693
200051_at	8.231472
200052_s_at	8.822506
200053_at	8.968378
200054_at	7.151458
200055_at	10.516493
200056_s_at	8.532811
200057_s_at	10.985623
200058_s_at	9.455358
200059_s_at	12.68561
200060_s_at	9.706288
200061_s_at	13.674968
200062_s_at	13.475822
200063_s_at	11.669298
200064_at	10.625006
200065_s_at	11.000427
200066_at	9.758717
200067_x_at	10.4142
200068_s_at	10.282351
200069_at	7.434446
200070_at	8.608413
200071_at	8.853666
200072_s_at	9.724115
200073_s_at	10.551921
200074_s_at	11.827019
200075_s_at	9.650039
200076_s_at	8.411892
200077_s_at	13.037861
200078_s_at	9.977263
200079_s_at	10.239972
200080_s_at	12.8845
200081_s_at	12.737518
200082_s_at	12.500981
200083_at	8.709357
200084_at	10.011848
200085_s_at	10.64022
200086_s_at	11.290907
200087_s_at	10.063236
200088_x_at	12.927659
200089_s_at	12.225238
200090_at	10.221923
200091_s_at	12.944687
200092_s_at	13.416324
200093_s_at	9.979524
200094_s_at	12.076503
200095_x_at	13.344801
200096_s_at	11.63604
200097_s_at	10.529615
200098_s_at	10.05815
200099_s_at	13.647981
200593_s_at	9.429418
200594_x_at	10.209314
200595_s_at	9.812036
200596_s_at	9.072031
200597_at	7.734636
200598_s_at	8.410958
200599_s_at	10.944672
200600_at	11.869258
200601_at	8.661996
200602_at	8.441055
200603_at	11.389038
200604_s_at	8.12481
200605_s_at	10.81769
200606_at	3.677349
200607_s_at	7.907384
200608_s_at	9.765879
200609_s_at	11.039297
200610_s_at	10.39985
200611_s_at	10.322675
200612_s_at	8.637209
200613_at	9.73626
200614_at	10.808995
200615_s_at	7.299222
200616_s_at	7.136498
200617_at	7.527911
200618_at	10.554333
200619_at	9.238701
200620_at	10.360611
200621_at	8.741349
200622_x_at	9.800598
200623_s_at	8.873624
200624_s_at	10.051301
200625_s_at	12.282454
200626_s_at	10.348524
200627_at	11.406008
200628_s_at	11.409642
200629_at	12.650301
200630_x_at	10.302652
200631_s_at	10.446354
200632_s_at	8.934559
200633_at	13.054674
200634_at	12.293318
200635_s_at	5.380943
200636_s_at	4.384487
200637_s_at	4.16495
200638_s_at	10.777509
200639_s_at	11.554597
200640_at	11.032147
200641_s_at	9.992334
200642_at	10.169757
200643_at	8.553752
200644_at	8.365949
200645_at	12.086697
200646_s_at	7.960381
200647_x_at	10.467215
200648_s_at	9.101379
200649_at	9.160762
200650_s_at	11.088524
200651_at	12.683942
200652_at	10.257648
200653_s_at	11.419175
200654_at	9.966032
200655_s_at	11.475387
200656_s_at	9.223343
200657_at	10.822422
200658_s_at	7.898601
200659_s_at	7.062503
200660_at	11.305709
200661_at	10.822956
200662_s_at	9.425059
200663_at	11.013399
200664_s_at	8.325251
200665_s_at	11.046222
200666_s_at	8.990637
200667_at	10.190052
200668_s_at	11.327666
200669_s_at	10.187808
200670_at	8.153125
200671_s_at	4.457582
200672_x_at	6.118658
200673_at	10.631817
200674_s_at	13.626259
200675_at	8.749443
200676_s_at	5.929737
200677_at	10.510439
200678_x_at	11.258439
200679_x_at	10.016301
200680_x_at	11.801697
200681_at	9.12537
200682_s_at	10.145373
200683_s_at	8.758851
200684_s_at	7.388109
200685_at	7.9551
200686_s_at	10.697711
200687_s_at	8.0599
200688_at	5.741747
200689_x_at	12.584497
200690_at	6.555295
200691_s_at	9.569807
200692_s_at	8.872742
200693_at	10.428536
200694_s_at	9.023298
200695_at	8.186863
200696_s_at	9.575571
200697_at	9.803012
200698_at	7.156331
200699_at	7.549928
200700_s_at	8.929878
200701_at	11.400852
200702_s_at	7.424784
200703_at	10.7304
200704_at	10.201988
200705_s_at	12.137382
200706_s_at	9.243074
200707_at	8.345901
200708_at	8.229723
200709_at	11.368732
200710_at	9.767453
200711_s_at	8.678694
200712_s_at	8.431496
200713_s_at	10.126696
200714_x_at	9.714992
200715_x_at	11.871136
200716_x_at	13.61841
200717_x_at	13.538593
200718_s_at	11.538275
200719_at	7.513976
200720_s_at	8.044226
200721_s_at	7.802747
200722_s_at	8.200965
200723_s_at	10.004188
200724_at	4.850449
200725_x_at	13.394834
200726_at	10.678055
200727_s_at	8.105368
200728_at	11.56683
200729_s_at	10.698003
200730_s_at	6.946064
200731_s_at	7.247124
200732_s_at	8.945838
200733_s_at	7.88436
200734_s_at	9.473224
200735_x_at	12.623774
200736_s_at	12.261883
200737_at	9.132425
200738_s_at	11.753639
200739_s_at	8.451789
200740_s_at	9.792397
200741_s_at	13.904999
200742_s_at	10.212548
200743_s_at	11.098383
200744_s_at	9.257191
200745_s_at	9.79321
200746_s_at	10.631012
200747_s_at	8.265539
200748_s_at	13.676703
200749_at	8.21804
200750_s_at	10.181965
200751_s_at	9.591125
200752_s_at	8.032543
200753_x_at	8.960965
200754_x_at	10.780046
200755_s_at	7.069331
200756_x_at	6.162322
200757_s_at	7.260594
200758_s_at	7.863488
200759_x_at	7.828542
200760_s_at	10.373731
200761_s_at	11.66295
200762_at	10.983936
200763_s_at	13.55111
200764_s_at	8.39341
200765_x_at	9.290974
200766_at	7.960559
200767_s_at	6.57946
200768_s_at	9.572472
200769_s_at	6.192149
200770_s_at	5.402195
200771_at	4.773647
200772_x_at	11.037191
200773_x_at	11.906567
200774_at	11.031037
200775_s_at	11.478483
200776_s_at	9.066663
