#ID_REF = 
#VALUE = RMA normalized (in  log2 scale)
ID_REF	VALUE
1007_s_at	5.825237
1053_at	6.335423
117_at	7.098448
121_at	7.108518
1255_g_at	3.510174
1294_at	8.233226
1316_at	5.382531
1320_at	4.338102
1405_i_at	11.095042
1431_at	3.622598
1438_at	4.591016
1487_at	6.461077
1494_f_at	4.597909
1598_g_at	7.08657
160020_at	5.966299
1729_at	8.70463
1773_at	5.849011
177_at	4.619348
179_at	7.534996
1861_at	5.050488
200000_s_at	9.440537
200001_at	10.415223
200002_at	12.535684
200003_s_at	13.672863
200004_at	11.729561
200005_at	11.002355
200006_at	11.282823
200007_at	11.524992
200008_s_at	10.028681
200009_at	11.652847
200010_at	13.175997
200011_s_at	9.593681
200012_x_at	13.666656
200013_at	12.933663
200014_s_at	10.685912
200015_s_at	10.467232
200016_x_at	12.979561
200017_at	13.309308
200018_at	13.535184
200019_s_at	12.551507
200020_at	8.573363
200021_at	13.092996
200022_at	13.262096
200023_s_at	11.653948
200024_at	12.907243
200025_s_at	13.268614
200026_at	13.502299
200027_at	10.425764
200028_s_at	9.843198
200029_at	13.314719
200030_s_at	11.417305
200031_s_at	13.620586
200032_s_at	13.604169
200033_at	12.445097
200034_s_at	13.004137
200035_at	8.995436
200036_s_at	12.767609
200037_s_at	10.353441
200038_s_at	13.433095
200039_s_at	9.166562
200040_at	10.467461
200041_s_at	10.608481
200042_at	8.781202
200043_at	10.23541
200044_at	9.462687
200045_at	8.277834
200046_at	9.353995
200047_s_at	10.44426
200048_s_at	10.794398
200049_at	7.922796
200050_at	8.801506
200051_at	7.828284
200052_s_at	8.742872
200053_at	9.104996
200054_at	7.007169
200055_at	9.910286
200056_s_at	8.678508
200057_s_at	11.340902
200058_s_at	9.784768
200059_s_at	12.493562
200060_s_at	9.749449
200061_s_at	13.826568
200062_s_at	13.616561
200063_s_at	12.420002
200064_at	10.697191
200065_s_at	11.110258
200066_at	9.804188
200067_x_at	10.693417
200068_s_at	10.415467
200069_at	7.617685
200070_at	8.358755
200071_at	8.969311
200072_s_at	9.755907
200073_s_at	10.576711
200074_s_at	12.55555
200075_s_at	9.319185
200076_s_at	8.399346
200077_s_at	12.909858
200078_s_at	9.648239
