#ID_REF = 
#VALUE = RMA normalized (in  log2 scale)
ID_REF	VALUE
1007_s_at	5.885939
1053_at	6.301275
117_at	7.098158
121_at	7.235826
1255_g_at	3.389051
1294_at	8.278499
1316_at	5.339222
1320_at	4.426087
1405_i_at	11.212629
1431_at	3.716223
1438_at	4.594893
1487_at	6.600958
1494_f_at	4.543071
1598_g_at	6.978005
160020_at	5.87109
1729_at	8.592548
1773_at	5.175689
177_at	4.576058
179_at	7.566528
1861_at	5.465681
200000_s_at	9.492412
200001_at	10.522746
200002_at	12.74941
200003_s_at	13.615763
200004_at	11.464328
200005_at	10.89242
200006_at	11.158073
200007_at	11.640952
200008_s_at	10.27804
200009_at	11.589635
200010_at	13.222646
200011_s_at	9.350369
200012_x_at	13.745338
200013_at	13.022294
200014_s_at	10.391793
200015_s_at	10.734488
200016_x_at	12.862235
200017_at	13.409325
200018_at	13.561979
200019_s_at	12.7557
200020_at	8.777671
200021_at	13.144913
200022_at	13.28914
200023_s_at	11.801815
200024_at	13.163642
200025_s_at	13.565733
200026_at	13.793856
200027_at	10.203275
200028_s_at	9.606635
200029_at	13.403514
200030_s_at	11.497401
200031_s_at	13.740477
200032_s_at	13.59011
200033_at	12.344931
200034_s_at	13.03483
200035_at	8.855278
200036_s_at	13.033311
200037_s_at	10.306731
200038_s_at	13.474877
200039_s_at	9.156109
200040_at	10.419202
200041_s_at	10.478295
200042_at	8.761618
200043_at	10.534237
200044_at	9.558035
200045_at	8.142819
200046_at	9.808367
200047_s_at	10.2315
200048_s_at	10.756567
200049_at	7.655274
200050_at	8.791808
200051_at	7.919131
200052_s_at	8.644048
200053_at	9.293647
200054_at	6.844388
200055_at	9.887102
200056_s_at	8.414914
200057_s_at	11.43009
200058_s_at	9.81705
200059_s_at	12.447531
200060_s_at	9.725683
200061_s_at	13.82033
200062_s_at	13.869943
200063_s_at	12.496171
200064_at	10.821661
200065_s_at	10.886242
200066_at	9.881108
200067_x_at	10.229463
200068_s_at	10.491755
200069_at	7.949549
200070_at	8.395124
200071_at	8.968402
200072_s_at	9.743114
200073_s_at	10.659457
200074_s_at	12.513731
200075_s_at	8.9806
200076_s_at	8.170244
200077_s_at	12.675908
200078_s_at	9.242168
200079_s_at	9.935419
200080_s_at	12.484569
200081_s_at	13.467146
200082_s_at	12.831722
200083_at	8.728404
200084_at	10.146216
200085_s_at	10.423372
200086_s_at	11.464422
200087_s_at	10.142974
200088_x_at	13.323926
200089_s_at	12.570802
200090_at	10.60817
200091_s_at	13.182555
200092_s_at	13.615047
200093_s_at	10.5631
200094_s_at	12.337362
200095_x_at	13.75275
200096_s_at	11.516286
200097_s_at	10.7928
200098_s_at	10.1263
200099_s_at	13.853928
200593_s_at	9.69166
200594_x_at	10.55485
200595_s_at	9.827772
200596_s_at	9.363584
200597_at	7.81466
200598_s_at	8.006461
200599_s_at	10.535918
200600_at	11.639917
200601_at	8.321684
200602_at	7.771352
200603_at	10.870151
200604_s_at	8.468584
200605_s_at	10.62653
200606_at	3.309787
200607_s_at	8.434135
200608_s_at	10.143959
200609_s_at	11.106735
200610_s_at	10.278409
200611_s_at	10.076933
200612_s_at	8.861215
200613_at	9.615644
200614_at	10.662589
200615_s_at	6.914118
200616_s_at	7.2644
200617_at	7.701997
200618_at	10.262397
200619_at	9.160348
200620_at	10.240493
200621_at	8.268548
200622_x_at	9.106613
200623_s_at	8.41081
200624_s_at	10.223931
200625_s_at	11.777037
200626_s_at	10.434917
200627_at	11.191372
200628_s_at	8.205635
200629_at	9.53799
200630_x_at	10.40183
200631_s_at	10.756277
200632_s_at	8.764564
200633_at	12.718275
200634_at	11.846326
200635_s_at	5.132916
200636_s_at	4.049197
200637_s_at	4.139233
200638_s_at	10.736307
200639_s_at	11.556933
200640_at	11.310559
200641_s_at	10.096956
200642_at	10.80294
200643_at	7.641153
200644_at	8.793317
200645_at	11.465567
200646_s_at	7.056619
200647_x_at	10.464363
200648_s_at	8.264206
200649_at	8.135174
200650_s_at	10.982967
200651_at	13.148965
200652_at	10.843077
200653_s_at	11.608892
200654_at	9.71146
200655_s_at	11.693848
200656_s_at	8.711062
200657_at	10.785378
200658_s_at	8.042203
200659_s_at	7.437181
200660_at	10.69087
200661_at	10.048322
200662_s_at	10.074612
200663_at	10.206761
200664_s_at	8.555348
200665_s_at	9.857682
200666_s_at	9.060232
200667_at	9.913271
200668_s_at	11.125092
200669_s_at	10.166091
200670_at	8.634521
200671_s_at	5.167273
200672_x_at	7.49045
200673_at	10.453945
200674_s_at	13.968368
200675_at	9.094016
200676_s_at	6.107473
200677_at	10.060179
200678_x_at	10.474305
200679_x_at	10.699399
200680_x_at	12.131686
200681_at	9.554282
200682_s_at	10.289021
200683_s_at	8.676762
200684_s_at	7.083113
200685_at	8.283129
200686_s_at	10.892475
200687_s_at	8.099751
200688_at	5.657095
200689_x_at	13.050577
200690_at	6.227847
200691_s_at	9.48513
200692_s_at	8.646618
200693_at	10.497005
200694_s_at	9.362589
200695_at	8.257095
200696_s_at	8.64258
200697_at	9.426702
200698_at	7.174368
200699_at	7.019452
200700_s_at	9.057696
200701_at	10.504655
200702_s_at	7.613645
200703_at	10.326473
200704_at	10.59457
