#ID_REF = 
#VALUE = RMA normalized (in  log2 scale)
ID_REF	VALUE
1007_s_at	5.588385
1053_at	6.252053
117_at	7.397032
121_at	7.049312
1255_g_at	3.604633
1294_at	8.289361
1316_at	5.365013
1320_at	4.351308
1405_i_at	11.857588
1431_at	3.745411
1438_at	4.506769
1487_at	6.699057
1494_f_at	4.521843
1598_g_at	7.162365
160020_at	5.811522
1729_at	8.50286
1773_at	6.344065
177_at	4.540166
179_at	7.577473
1861_at	5.317884
200000_s_at	9.424416
200001_at	10.541996
200002_at	12.305074
200003_s_at	13.535166
200004_at	11.680756
200005_at	10.731788
200006_at	11.240852
200007_at	11.511725
200008_s_at	9.993212
200009_at	11.428632
200010_at	13.148062
200011_s_at	9.588718
200012_x_at	13.593784
200013_at	12.862613
200014_s_at	10.207718
200015_s_at	10.836327
200016_x_at	12.93106
200017_at	13.283821
200018_at	13.5378
200019_s_at	12.349196
200020_at	8.572376
200021_at	13.233768
200022_at	12.975327
200023_s_at	11.543666
200024_at	12.4566
200025_s_at	13.489358
200026_at	13.46392
200027_at	10.426454
200028_s_at	9.742471
200029_at	13.058388
200030_s_at	11.242686
200031_s_at	13.337633
200032_s_at	13.470936
200033_at	12.601715
200034_s_at	12.966218
200035_at	8.712439
200036_s_at	12.578287
200037_s_at	10.308924
200038_s_at	13.336053
200039_s_at	9.007798
200040_at	10.200673
200041_s_at	10.231313
200042_at	8.751398
200043_at	10.589717
200044_at	9.470982
200045_at	7.845193
200046_at	8.942277
200047_s_at	10.442097
200048_s_at	10.728346
200049_at	7.719949
200050_at	8.601808
200051_at	7.88301
200052_s_at	8.088985
200053_at	8.856873
200054_at	6.698371
200055_at	9.749998
200056_s_at	8.339283
200057_s_at	11.193369
200058_s_at	9.652125
200059_s_at	12.440992
200060_s_at	9.681332
200061_s_at	13.784879
200062_s_at	13.626206
200063_s_at	12.144559
200064_at	10.528697
200065_s_at	11.101221
200066_at	9.599174
200067_x_at	10.504623
200068_s_at	10.646601
200069_at	7.727593
200070_at	8.343495
200071_at	8.998108
200072_s_at	9.479545
200073_s_at	10.674276
200074_s_at	12.20127
200075_s_at	8.922628
200076_s_at	8.194886
200077_s_at	12.9318
200078_s_at	9.469655
200079_s_at	9.661476
200080_s_at	12.801241
200081_s_at	13.314167
200082_s_at	12.583851
200083_at	8.620059
200084_at	9.939789
200085_s_at	10.308123
200086_s_at	11.138745
200087_s_at	10.288329
200088_x_at	13.147337
200089_s_at	12.414049
200090_at	10.54394
200091_s_at	12.926101
200092_s_at	13.537171
200093_s_at	9.924514
200094_s_at	12.054304
200095_x_at	13.383717
200096_s_at	11.718059
200097_s_at	10.601087
200098_s_at	10.260568
200099_s_at	13.695685
200593_s_at	9.353678
200594_x_at	10.46358
200595_s_at	10.10801
200596_s_at	9.534317
200597_at	7.896758
200598_s_at	8.430421
200599_s_at	10.521459
200600_at	11.608548
200601_at	8.587319
200602_at	8.185813
200603_at	11.217853
200604_s_at	8.38786
200605_s_at	10.951163
200606_at	4.032271
200607_s_at	8.439399
200608_s_at	9.928556
200609_s_at	11.355312
200610_s_at	10.136554
200611_s_at	10.276668
200612_s_at	8.767457
200613_at	9.79213
200614_at	10.772024
200615_s_at	7.067128
200616_s_at	6.994744
200617_at	7.609046
200618_at	10.323137
200619_at	9.264793
200620_at	10.230866
200621_at	8.183954
200622_x_at	9.293639
200623_s_at	8.638824
200624_s_at	10.075062
200625_s_at	11.999639
200626_s_at	10.317532
200627_at	11.136077
200628_s_at	8.320005
200629_at	9.581948
200630_x_at	10.432455
200631_s_at	10.47289
200632_s_at	8.784995
200633_at	13.202094
200634_at	11.213037
200635_s_at	5.165248
200636_s_at	4.421638
200637_s_at	3.973616
200638_s_at	10.900466
200639_s_at	11.774227
200640_at	11.350963
200641_s_at	10.196454
200642_at	10.406392
200643_at	7.895684
200644_at	8.536114
200645_at	11.534454
200646_s_at	6.885303
200647_x_at	10.237274
200648_s_at	8.673567
200649_at	8.100437
200650_s_at	10.839589
200651_at	12.848208
200652_at	10.575737
200653_s_at	11.658422
200654_at	9.703384
200655_s_at	11.716193
200656_s_at	8.443851
200657_at	10.734292
200658_s_at	7.668911
200659_s_at	7.043205
200660_at	10.760736
200661_at	10.604325
200662_s_at	9.834712
200663_at	10.33079
200664_s_at	8.529374
200665_s_at	11.141814
200666_s_at	9.114643
200667_at	10.02887
200668_s_at	11.275024
200669_s_at	10.307861
200670_at	8.735729
200671_s_at	4.507809
200672_x_at	6.542587
200673_at	10.677018
200674_s_at	13.704042
200675_at	8.734112
200676_s_at	6.000833
200677_at	10.369103
200678_x_at	10.436051
200679_x_at	10.450255
200680_x_at	12.259789
200681_at	9.353486
200682_s_at	10.137097
200683_s_at	8.775173
200684_s_at	7.281234
200685_at	8.490182
200686_s_at	10.937236
200687_s_at	8.031648
200688_at	5.6269
200689_x_at	12.795161
200690_at	6.300906
200691_s_at	8.795601
200692_s_at	8.033952
200693_at	10.66625
200694_s_at	8.97556
200695_at	7.960899
200696_s_at	8.869424
200697_at	9.631677
200698_at	7.272345
200699_at	7.207332
200700_s_at	8.680985
200701_at	10.621382
200702_s_at	7.700267
200703_at	10.788631
200704_at	10.363568
200705_s_at	12.36033
200706_s_at	9.520888
200707_at	7.881324
200708_at	8.049561
200709_at	10.709959
200710_at	9.038513
200711_s_at	8.853951
200712_s_at	8.733665
200713_s_at	10.247519
200714_x_at	9.578674
200715_x_at	12.364968
200716_x_at	13.698827
200717_x_at	13.663533
200718_s_at	11.582164
200719_at	7.81996
200720_s_at	7.548836
200721_s_at	7.404356
200722_s_at	8.33872
200723_s_at	9.959702
200724_at	5.162632
200725_x_at	13.430341
200726_at	11.228664
200727_s_at	8.821897
200728_at	11.478229
200729_s_at	10.80039
200730_s_at	6.617483
200731_s_at	7.585702
200732_s_at	9.197291
200733_s_at	7.96312
200734_s_at	8.832531
200735_x_at	12.944484
200736_s_at	12.34223
200737_at	8.418679
200738_s_at	11.238862
200739_s_at	7.854623
200740_s_at	9.716909
200741_s_at	13.859331
200742_s_at	10.162867
200743_s_at	11.150223
200744_s_at	8.967216
200745_s_at	10.262356
200746_s_at	10.68677
200747_s_at	8.223858
200748_s_at	13.468665
200749_at	8.068303
200750_s_at	10.20346
200751_s_at	9.750198
200752_s_at	7.633436
200753_x_at	8.665027
200754_x_at	10.83658
200755_s_at	7.252871
200756_x_at	6.628677
200757_s_at	6.835761
200758_s_at	8.020835
200759_x_at	7.827492
200760_s_at	10.904026
200761_s_at	11.830736
200762_at	10.48419
200763_s_at	13.537164
200764_s_at	7.954251
200765_x_at	8.735023
200766_at	7.211117
200767_s_at	6.710141
200768_s_at	9.572835
